member,bands,final_train_loss,final_train_acc
1,"9,2,6",0.125848075911723,0.9565168035508533
2,"1,2,9",0.12412939746930772,0.9573227836964974
3,"10,3,1",0.12282684069018648,0.9574135983607953
4,"2,8,7",0.13426698044669905,0.953400725382131
5,"2,6,5",0.14563416447103406,0.9490387835375718
6,"9,3,6",0.13348448036682659,0.9537015489576179
7,"1,6,3",0.12611131423884417,0.9557193372799873
8,"5,9,2",0.1314103115000977,0.954535908685855
9,"3,1,5",0.12193342776002447,0.9574987371085746
10,"5,3,8",0.13948009346619986,0.9517688993830279
