member,bands,final_train_loss,final_train_acc
1,"1,3,5",0.12056963698423083,0.9582763376716256
2,"1,2,9",0.12476569693964269,0.9564089611369996
3,"1,4,10",0.1317346926868017,0.9542492749016648
4,"2,6,9",0.13298340507563522,0.953290045010018
5,"4,5,9",0.14803896053077653,0.9484541641361539
6,"1,3,5",0.12060098318618974,0.9577484774353939
7,"2,5,7",0.13864398778515388,0.9518143067151769
8,"4,6,7",0.15175555398530607,0.9472168143350947
9,"2,5,8",0.1366481887054513,0.9523733844922608
10,"1,4,6",0.12826062585911188,0.9552908055828315
