member,bands,final_train_loss,final_train_acc
1,"9,2,15",0.26918663322077424,0.9059812808273215
2,"1,9,16",0.26869794028402366,0.9048659632314128
3,"10,6,11",0.3341744189217855,0.8834734338727346
4,"6,4,13",0.32705473488573555,0.8838849378203345
5,"9,10,17",0.3728553508054225,0.8694539200717436
6,"1,7,11",0.224807495531134,0.9201256647917222
7,"3,2,16",0.2600729571585711,0.9090774932882287
8,"2,6,12",0.26926324698584175,0.9042245846648087
9,"3,5,14",0.285102179371682,0.8982223029463683
10,"7,2,12",0.23882105189367012,0.9155423622029367
