member,bands,final_train_loss,final_train_acc
1,"9,2,6",0.2631803034376412,0.9070965984232304
2,"1,2,9",0.2537368093681777,0.9108143237429264
3,"10,3,1",0.2606341475686889,0.9083538139321047
4,"2,8,7",0.28525682501309446,0.8990793663406799
5,"2,6,5",0.2944226036766235,0.8962158664570361
6,"9,3,6",0.27931869940715043,0.9013071635742381
7,"1,6,3",0.25944101514061063,0.9087795076710011
8,"5,9,2",0.2696955823432055,0.9048205558992638
9,"3,1,5",0.25276139566919226,0.9108625690333346
10,"5,3,8",0.29364163565193035,0.89624140808137
