member,bands,final_train_loss,final_train_acc
1,"1,3,5",0.2474986918985143,0.9127838667748874
2,"1,2,9",0.254781111664227,0.9103687642962147
3,"1,4,10",0.2742150881355351,0.903503743266944
4,"2,6,9",0.2753401287026276,0.9020876020955484
5,"4,5,9",0.3086554065675641,0.8910763240494258
6,"1,3,5",0.25008630255584635,0.9117678777180546
7,"2,5,7",0.2794883644963877,0.9016108251079843
8,"4,6,7",0.30783938584573417,0.8912834950023555
9,"2,5,8",0.27751239609857165,0.9016023112332063
10,"1,4,6",0.26553430396445,0.9066056316443698
