member,bands,final_train_loss,final_train_acc
1,"9,2,15",0.43281488528770373,0.8480727425461027
2,"1,9,16",0.4260409536320989,0.8497102444617245
3,"10,6,11",0.5193193821758241,0.8190177258872876
4,"6,4,13",0.49366578514089343,0.8250540631048399
5,"9,10,17",0.5410798384837813,0.8112360443402599
6,"1,7,11",0.3830583912236645,0.8640589614207954
7,"3,2,16",0.42601097782823466,0.8513420704608277
8,"2,6,12",0.4303451966679272,0.846528893253038
9,"3,5,14",0.45415096558635076,0.8385996378765261
10,"7,2,12",0.39502783898411187,0.8593507886686003
